city,lat,lng,country,capital,population,log_airport,lat_airport,source_airport
Abrantes,39.4667,-8.2,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Santiago do Cacém,38.0167,-8.7,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Cantanhede,40.3464,-8.5942,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Grândola,38.1833,-8.5667,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Mangualde,40.6058,-7.7658,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Arouca,40.9289,-8.2436,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Feira,40.9254,-8.5428,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Seia,40.4203,-7.7033,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Coruche,38.9581,-8.5283,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Chamusca,39.3594,-8.4808,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Crato,39.2844,-7.6444,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Belmonte,40.3583,-7.3514,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Vagos,40.5553,-8.6814,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Tondela,40.5164,-8.0808,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Arganil,40.2183,-8.0542,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Gavião,39.465,-7.9369,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Santa Comba Dão,40.3981,-8.1303,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Mogadouro,41.3392,-6.72,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Paredes de Coura,41.9111,-8.5597,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Seixal,38.6428,-9.1061,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Alenquer,39.0531,-9.0092,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Mêda,40.9631,-7.2631,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Vouzela,40.7231,-8.1122,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Mação,39.5533,-7.9986,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Trofa,41.4878,-7.9613,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Alter do Chão,39.1974,-7.6589,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Mortágua,40.3947,-8.2328,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Bombarral,39.2672,-9.1581,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Vila Nova de Cerveira,41.94,-8.7444,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Sabugal,40.3519,-7.0894,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Almeirim,39.209,-8.6164,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Alcanena,39.4589,-8.6689,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Mealhada,40.3781,-8.4514,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Sernancelhe,40.9003,-7.4942,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Batalha,39.6603,-8.8247,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Figueiró dos Vinhos,39.9019,-8.275,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Vila Flor,41.3067,-7.1522,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Castelo de Paiva,41.063,-8.2647,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Penedono,40.9831,-7.3894,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Oliveira de Frades,40.7314,-8.1767,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Vizela,41.3828,-8.2647,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Montalegre,41.8239,-7.79,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Alcoutim,37.4717,-7.4722,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Lourinhã,39.2425,-9.3122,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Ferreira do Alentejo,38.05,-8.1,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
